City,BranchType
MUMBAI,Urban
BANGALORE,Urban
GURGAON,Urban
NOIDA,Urban
PUNE,Urban
CHENNAI,Urban
THANE,Urban
HYDERABAD,Urban
KOLKATA,Urban
GHAZIABAD,Urban
AHMEDABAD,Urban
FARIDABAD,Urban
JAIPUR,Urban
CHANDIGARH,Urban
LUCKNOW,Urban
MOHALI,Urban
SURAT,Urban
NASHIK,Semi-Urba
VISAKHAPATNAM,Semi-Urba
LUDHIANA,Semi-Urba
DEHRADUN,Semi-Urba
KANPUR,Semi-Urba
INDORE,Semi-Urba
VADODARA,Semi-Urba
NAGPUR,Semi-Urba
AMRITSAR,Semi-Urba
AGRA,Semi-Urba
COIMBATORE,Semi-Urba
MEERUT,Semi-Urba
PANCHKULA,Semi-Urba
AURANGABAD,Semi-Urba
GUNTUR,Semi-Urba
GUWAHATI,Semi-Urba
RANCHI,Semi-Urba
JALANDHAR,Semi-Urba
BHOPAL,Semi-Urba
PATNA,Semi-Urba
UDAIPUR,Semi-Urba
ERNAKULAM,Semi-Urba
BENGALURU,Semi-Urba
REWARI,Semi-Urba
HOWRAH,Semi-Urba
PATIALA,Semi-Urba
SECUNDERABAD,Semi-Urba
ALWAR,Semi-Urba
ALLAHABAD,Semi-Urba
SONIPAT,Semi-Urba
PANIPAT,Semi-Urba
ZIRAKPUR,Semi-Urba
BAMBOLIM,Semi-Urba
RAJKOT,Semi-Urba
RAIPUR,Semi-Urba
KOLHAPUR,Semi-Urba
JAMSHEDPUR,Semi-Urba
SILIGURI,Semi-Urba
BAREILLY,Semi-Urba
MANGALORE,Semi-Urba
ALIGARH,Semi-Urba
KARNAL,Semi-Urba
KANGRA,Semi-Urba
WARANGAL,Semi-Urba
SAHARANPUR,Semi-Urba
HOSUR,Semi-Urba
KOTTAYAM,Semi-Urba
AMBALA,Semi-Urba
MORADABAD,Semi-Urba
KHARAR,Semi-Urba
SALEM,Semi-Urba
VARANASI,Semi-Urba
JAMMU,Semi-Urba
VAPI,Semi-Urba
SHIMLA,Semi-Urba
BHUBANESHWAR,Semi-Urba
BURDWAN,Semi-Urba
JODHPUR,Semi-Urba
VIJAYAWADA,Semi-Urba
BHIWADI,Semi-Urba
